curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
130,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
131,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
132,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
133,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
134,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
135,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
136,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
137,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
138,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
139,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
140,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
141,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
142,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
143,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
