curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
44,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
45,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
46,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
47,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
48,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
49,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
50,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
51,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
52,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
53,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
54,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
55,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
56,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
57,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
58,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
59,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
60,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
61,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
62,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
