curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
51,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
52,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
53,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
54,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
55,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
56,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
57,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
58,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
59,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
60,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
