curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
123,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
124,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
125,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
126,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
127,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
128,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
129,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
130,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
131,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
132,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
