curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
61,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
62,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
63,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
64,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
65,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
66,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
67,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
68,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
69,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
70,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
71,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
72,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
73,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
74,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
75,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
76,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
77,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
78,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
79,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
80,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
81,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
82,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
83,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
84,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
85,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
86,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
87,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
88,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
89,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
90,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
91,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
92,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
93,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
94,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
95,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
96,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
97,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
98,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
99,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
100,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
