AID	PTNR_ID	H4TR13	H4TR14	H4TR15	H4TR16	H4TR17	H4TR18	H4TR19	H4TR20	H4TR21	H4TR22	H4TR23	H4TR24
90504504	2	4	7	7	7	97	97	1	32	7	97	0	2
90504603	1	2	1	7	7	1	97	2	30	7	97	0	2
90504786	1	2	1	7	7	2	1	2	25	7	97	0	1
90504786	2	2	0	7	7	4	0	2	27	7	97	0	1
90506040	1	2	0	7	7	1	97	1	31	7	97	0	4
90506040	2	2	0	7	7	1	97	1	25	7	97	0	4
90506040	3	4	7	7	7	97	97	1	33	7	97	0	1
90506094	1	2	1	7	7	1	1	1	96	1	3	0	2
90506094	2	2	1	7	7	1	1	1	24	7	97	0	2
90506203	1	1	1	1	1	1	3	1	31	7	97	0	1
90506236	1	4	7	7	7	97	97	2	25	7	97	1	5
90506268	1	2	0	7	7	1	0	2	29	7	97	0	1
90506268	2	3	0	7	7	97	1	2	26	7	97	0	1
90506372	1	1	1	1	1	1	1	1	38	7	97	0	3
90506397	1	3	1	7	7	97	2	2	30	7	97	0	2
90506397	2	4	7	7	7	97	97	2	98	2	1	0	2
90506428	1	1	1	1	0	97	2	1	30	7	97	1	5
90506472	1	1	1	1	1	1	3	1	28	7	97	0	1
90506472	2	2	0	7	7	1	0	1	27	7	97	0	1
90506725	1	1	1	1	1	2	2	1	28	7	97	0	1
90506725	2	2	0	7	7	1	0	1	25	7	97	0	1
90506725	3	3	0	7	7	97	1	1	31	7	97	0	1
90506828	1	1	1	1	1	3	1	1	33	7	97	1	5
90506828	2	3	0	7	7	97	1	1	28	7	97	1	5
90506828	3	4	7	7	7	97	97	1	22	7	97	1	5
90506849	1	1	1	1	1	2	2	1	33	7	97	0	4
90506849	2	3	0	7	7	97	1	1	27	7	97	0	4
90506849	3	3	0	7	7	97	1	1	30	7	97	0	4
90506987	1	1	1	1	0	97	2	1	26	7	97	0	1
90507350	1	1	0	1	0	97	1	1	28	7	97	0	1
90507350	2	2	1	7	7	1	0	1	33	7	97	0	1
90507350	3	2	0	7	7	1	0	1	29	7	97	0	1
90507350	4	3	0	7	7	97	1	1	26	7	97	0	1
90507350	5	4	7	7	7	97	97	1	33	7	97	0	1
90507957	1	1	0	1	1	8	2	1	28	7	97	0	1
90507957	2	2	1	7	7	1	0	1	24	7	97	1	5
90507957	3	2	0	7	7	1	0	1	34	7	97	0	2
90507957	4	2	0	7	7	1	0	1	23	7	97	0	1
90507957	5	3	1	7	7	97	0	1	22	7	97	0	1
90507957	6	3	0	7	7	97	0	1	22	7	97	0	1
90507957	7	3	0	7	7	97	0	1	22	7	97	0	1
90508033	1	1	1	1	0	97	1	1	31	7	97	0	1
90508165	1	1	0	1	1	2	3	1	34	7	97	0	2
90508165	2	2	1	7	7	1	1	1	23	7	97	0	2
90508325	1	1	0	1	0	97	0	1	28	7	97	0	2
90508325	2	1	0	1	0	97	0	1	28	7	97	0	2
90508325	3	1	1	1	0	97	0	1	31	7	97	0	2
90508325	4	2	1	7	7	1	2	1	40	7	97	0	2
90508577	1	1	1	1	0	97	97	1	28	7	97	0	1
90508969	1	2	1	7	7	1	2	1	27	7	97	0	1
90540850	1	2	0	7	7	2	97	2	28	7	97	1	5
90540850	2	2	0	7	7	3	97	2	24	7	97	1	1
90540850	3	2	0	7	7	1	97	2	24	7	97	1	1
90540850	4	5	7	7	7	97	97	2	29	7	97	1	1
90543102	1	2	0	7	7	1	1	2	41	7	97	0	2
90543102	2	2	1	7	7	1	1	2	27	7	97	0	2
90543102	3	3	0	7	7	97	1	2	28	7	97	0	2
90543102	4	4	7	7	7	97	97	2	27	7	97	0	2
90543104	1	1	1	1	1	1	97	1	32	7	97	1	5
90544989	1	3	0	7	7	97	2	1	31	7	97	0	1
90544989	2	5	7	7	7	97	97	1	33	7	97	0	1
90546223	1	2	0	7	7	2	97	1	56	7	97	0	1
90546223	2	2	0	7	7	1	97	1	45	7	97	0	1
90546223	3	2	0	7	7	1	97	1	55	7	97	0	1
90546223	4	2	0	7	7	1	97	1	45	7	97	0	1
90548078	1	3	0	7	7	97	1	1	27	7	97	0	1
90548078	2	3	0	7	7	97	1	1	27	7	97	0	1
90548078	3	5	7	7	7	97	97	1	27	7	97	0	1
90570023	1	1	1	1	0	97	2	1	31	7	97	0	1
90570023	2	2	0	7	7	1	0	1	25	7	97	0	1
90570023	3	3	0	7	7	97	1	1	29	7	97	0	1
90570051	1	5	7	7	7	97	97	2	32	7	97	1	1
90570180	1	1	0	1	0	97	0	2	25	7	97	0	2
90570180	2	2	1	7	7	2	1	2	28	7	97	0	2
90570180	3	2	0	7	7	1	0	2	29	7	97	0	2
90570180	4	3	6	7	7	97	0	6	96	6	97	0	2
90570180	5	4	7	7	7	97	97	2	28	7	97	0	2
90570180	6	4	7	7	7	97	97	2	35	7	97	0	2
90570180	7	4	7	7	7	97	97	6	96	6	97	0	2
90570180	8	4	7	7	7	97	97	6	96	6	97	0	2
90570180	9	4	7	7	7	97	97	2	96	6	97	0	2
90570180	10	5	7	7	7	97	97	2	26	7	97	0	2
90570184	1	1	0	1	1	2	2	1	32	7	97	0	1
90570184	2	2	1	7	7	2	1	1	31	7	97	0	1
90570190	1	2	0	7	7	1	97	1	30	7	97	0	1
90570190	2	2	0	7	7	1	97	1	23	7	97	0	1
90570190	3	4	7	7	7	97	97	1	27	7	97	0	1
90570220	1	1	1	1	1	1	2	2	31	7	97	0	1
90570220	2	2	0	7	7	1	0	2	32	7	97	0	1
90570220	3	3	0	7	7	97	1	2	30	7	97	0	1
90570222	1	1	0	1	1	2	1	2	30	7	97	0	1
90570222	2	2	0	7	7	1	0	2	27	7	97	0	1
90570222	3	2	0	7	7	1	0	2	33	7	97	0	1
90570222	4	2	0	7	7	1	1	2	33	7	97	0	1
90570222	5	2	1	7	7	1	1	2	30	7	97	0	1
90570222	6	2	0	7	7	1	0	2	28	7	97	0	1
90570222	7	2	0	7	7	1	0	2	30	7	97	0	1
90570222	8	3	0	7	7	97	0	2	32	7	97	1	1
90570280	1	1	1	1	1	1	2	2	28	7	97	0	5
90570282	1	2	1	7	7	1	1	2	23	7	97	0	2
90570373	1	1	1	1	1	1	2	2	25	7	97	0	1
90570373	2	1	0	1	0	97	1	2	27	7	97	0	1
90570373	3	2	0	7	7	1	0	2	24	7	97	0	1
90570373	4	2	0	7	7	1	0	2	24	7	97	0	1
90570373	5	3	0	7	7	97	0	8	98	8	97	8	98
90570388	1	1	1	1	0	97	97	2	28	7	97	0	1
90570412	1	4	7	7	7	97	97	2	30	7	97	1	1
90570531	1	1	0	1	1	1	0	2	27	7	97	0	1
90570531	2	1	1	1	1	1	1	2	38	7	97	0	1
90570531	3	2	0	7	7	2	0	2	34	7	97	0	1
90570531	4	2	0	7	7	2	0	2	40	7	97	0	1
90570531	5	2	0	7	7	1	0	2	27	7	97	0	1
90570582	1	2	0	7	7	1	97	2	28	7	97	0	2
90570582	2	5	7	7	7	97	97	2	26	7	97	0	2
90570626	1	1	1	1	1	1	97	2	31	7	97	0	2
90570628	1	2	0	7	7	1	0	1	24	7	97	0	2
90570628	2	2	0	7	7	1	1	1	30	7	97	0	2
90570628	3	2	1	7	7	1	0	1	36	7	97	0	2
90570628	4	4	7	7	7	97	97	1	98	2	10	0	2
90570628	5	5	7	7	7	97	97	1	36	7	97	0	2
90570655	1	3	1	7	7	97	5	1	37	7	97	0	2
90570655	2	3	0	7	7	97	1	1	38	7	97	0	2
90570697	1	1	1	1	1	1	1	1	30	7	97	0	1
90570725	1	2	0	7	7	1	0	1	30	7	97	0	1
90570725	2	3	0	7	7	97	1	1	30	7	97	0	1
90570778	1	1	1	1	1	1	1	1	34	7	97	0	4
90570778	2	3	0	7	7	97	1	1	36	7	97	1	5
90570820	1	2	0	7	7	1	0	2	25	7	97	0	1
90570820	2	2	0	7	7	1	0	2	26	7	97	1	5
90570820	3	3	0	7	7	97	1	2	23	7	97	0	1
90570820	4	4	7	7	7	97	97	2	21	7	97	0	1
90570892	1	1	1	1	1	1	6	1	30	7	97	0	1
90570992	1	1	1	1	1	1	97	1	30	7	97	0	1
90571004	1	2	1	7	7	1	1	2	22	7	97	0	1
90571069	1	2	1	7	7	1	0	1	26	7	97	0	5
90571069	2	2	0	7	7	1	0	1	29	7	97	0	1
90571069	3	3	0	7	7	97	1	1	28	7	97	0	1
90571074	1	2	0	7	7	1	0	2	24	7	97	0	1
90571074	2	2	0	7	7	1	0	2	25	7	97	0	1
90571074	3	2	1	7	7	3	1	2	22	7	97	0	1
90571074	4	2	0	7	7	1	0	2	30	7	97	0	2
90571074	5	2	0	7	7	1	0	2	29	7	97	1	5
90571103	1	1	1	1	1	1	97	2	24	7	97	1	5
90571103	2	2	0	7	7	1	97	2	24	7	97	0	1
90571103	3	2	0	7	7	1	97	2	24	7	97	0	1
90571107	1	3	0	7	7	97	1	1	29	7	97	0	1
90571107	2	3	0	7	7	97	1	1	28	7	97	1	1
90571107	3	5	7	7	7	97	97	1	23	7	97	1	5
90571208	1	1	1	1	1	1	1	2	25	7	97	0	1
90571208	2	2	0	7	7	1	0	2	24	7	97	0	1
90571210	1	2	0	7	7	1	97	2	28	7	97	0	1
90571210	2	2	1	7	7	2	97	2	25	7	97	8	98
90571214	1	2	1	7	7	1	1	1	38	7	97	0	1
90571217	1	1	1	1	1	1	1	1	29	7	97	0	1
90571276	1	1	0	1	1	8	97	1	55	7	97	0	5
90571276	2	2	0	7	7	7	97	1	37	7	97	1	1
90571315	1	1	1	1	1	1	2	2	27	7	97	0	1
90571315	2	2	0	7	7	1	0	2	27	7	97	0	1
90571315	3	4	7	7	7	97	97	2	27	7	97	0	1
90571401	1	2	1	7	7	1	2	1	29	7	97	0	1
90571402	1	2	0	7	7	2	1	1	37	7	97	0	1
90571402	2	3	0	7	7	97	0	1	27	7	97	0	1
90571402	3	4	7	7	7	97	97	1	56	7	97	0	1
90571418	1	3	0	7	7	97	1	1	29	7	97	0	1
90571461	1	1	1	1	1	1	97	2	35	7	97	0	1
90571461	2	2	0	7	7	1	97	2	39	7	97	0	1
