AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
98574230	167	7252.584782309	4761.558001061	6574.582746135
98574296	168	9233.485537323	6768.286358284	8316.69700504
98574315	165	 	1951.768245684	 
98574339	167	12028.845230749	8559.854200479	11616.288963182
98574387	163	7702.633351527	5976.0514921	7475.637747575
98574399	168	10060.745765437	7805.581805509	9764.256895072
98574415	165	 	2155.903318279	 
98574485	163	7702.633351527	5976.0514921	7475.637747575
98574491	168	8054.357188692	6382.755632031	7439.201331977
98574498	168	 	1337.691053283	1651.081133922
98574595	168	 	1261.232108092	 
98574628	161	 	7506.209280606	 
98574636	167	12028.845230749	8559.854200479	11616.288963182
98574640	169	3991.942582051	2811.102782866	3572.695208366
98574787	163	9506.021703734	6972.539960191	8333.863146705
98574806	166	 	8507.692203486	10295.057272607
98574900	166	 	987.893608204	1368.110188105
98574906	166	770.123158709	579.846122088	715.690659968
98574941	169	6499.077372278	5157.769547352	6071.784406739
98575036	127	2239.950466661	1650.79563594	2009.56651386
98575103	126	3776.075436955	2973.486418421	3576.087562178
98575113	125	5468.410449385	4339.81614199	5108.880444761
98575128	121	6369.956480659	4182.083789062	5774.46623906
98575150	122	 	5803.870270523	7783.577796977
98575157	122	 	5277.724570086	6602.077821718
98575165	124	5030.769544725	3903.098651087	4882.513419964
98575175	130	6212.028321031	4922.783758345	5737.581321198
98575190	128	2342.075681415	1716.777355693	2109.532064188
98575197	128	5532.665823271	4058.13648879	4850.449667024
98575204	126	3966.920069395	2925.002984167	3693.271203008
98575220	121	 	1788.901380254	2177.687069248
98575246	129	1232.28643242	813.15235564	1062.963626636
98575256	122	 	3367.336697916	 
98575294	128	2829.017620761	2130.042290206	2629.061943102
98575331	127	4837.528632986	3753.173607764	4694.967292784
98575355	122	 	3725.47989522	4484.242036398
98575360	124	 	4357.831743421	 
98575384	123	7983.51616375	5855.802480728	6999.093123474
98575386	123	1895.01146679	1426.804320717	1761.071579236
98575403	126	6027.314066612	4573.150386771	6133.057796534
98575404	126	3617.807915983	2866.967941746	3341.495893081
98575623	121	5603.253960682	3864.757637931	5352.21025331
98575822	121	 	2028.777069616	 
98575874	130	3454.789156372	2680.381753954	3352.976968866
98575918	125	4234.720710299	3173.268091322	3872.562447456
98575940	129	2134.862182852	1565.89289856	1871.618835246
98575942	129	2370.290159098	1861.249204615	2224.640696465
98575946	129	2134.862182852	1565.89289856	1871.618835246
98575948	129	2257.66636745	1663.851876309	2025.460294333
98575967	124	 	4176.216970813	 
98575980	123	 	4401.613129498	 
98575989	123	3673.227289945	2910.885577007	3392.682582587
98576059	172	5746.636859754	4306.21536271	5255.17776134
98576112	175	5640.363307978	4376.049076248	5474.142534228
98576118	175	5640.363307978	4376.049076248	5474.142534228
98576136	177	4984.093797788	3675.014615084	4640.277538859
98576169	174	6254.755703239	4745.718930074	6364.489689307
98576193	178	 	442.858712136	 
98576215	175	 	3226.75880406	3904.662498142
98576283	173	 	4567.963576869	 
98576335	177	4984.093797788	3675.014615084	4640.277538859
98576369	174	 	4745.718930074	 
98576416	175	4085.325466905	3237.456884725	3773.306539922
98576421	171	 	3832.123673918	 
98576441	179	2034.386486285	1800.530171475	2414.693301581
