AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
90571276	1	1	1	9998	2002	132	3
90571276	2	2	8	2005	2006	23	7
90571315	1	2	8	1999	9917	104	7
90571315	1	1	1	2001	9917	76	7
90571315	2	2	8	9996	9996	998	7
90571315	3	4	8	9998	9917	998	7
90571401	1	2	8	2004	9917	45	7
90571402	1	2	8	1995	1998	30	7
90571402	2	3	8	1998	1999	14	7
90571402	3	4	8	2000	9917	95	7
90571418	1	3	8	2006	2007	15	7
90571461	1	2	8	2006	9917	18	7
90571461	1	1	1	2007	9917	7	7
90571461	2	2	8	2003	2004	7	7
90571461	3	2	8	2002	2002	3	7
90571462	1	2	8	1997	1998	17	7
90571462	1	1	1	1998	2005	87	1
90571462	2	2	8	2006	9917	24	7
90571472	1	2	8	1998	1999	9	7
90571472	2	2	8	1999	2001	18	7
90571472	3	3	8	2001	2002	18	7
90571472	4	3	8	2007	9917	8	7
90571805	1	2	8	2003	9917	58	7
90571816	1	2	8	2006	9917	24	7
90571816	1	1	1	2008	9917	1	7
90571816	2	2	8	1999	1999	4	7
90571816	3	2	8	2000	2001	9	7
90571816	4	2	8	2005	2005	7	7
90571861	1	2	8	1996	9917	136	7
90571861	1	1	1	1998	9917	112	7
90571907	1	2	8	2000	2004	54	7
90571907	2	4	8	2008	9917	6	7
90571913	1	2	8	2000	2005	51	7
90571913	2	2	8	2005	2008	36	7
90571914	1	2	8	2000	2006	74	7
90571914	2	3	8	2000	2006	74	7
90571971	1	1	1	2002	2008	71	1
90571971	2	5	8	2008	9998	998	7
90571979	1	2	8	1998	1999	17	7
90571979	1	1	1	1998	1999	14	1
90571979	2	2	8	2001	9917	87	7
90571979	2	1	1	2002	9917	78	7
90572007	1	1	1	2003	9917	57	7
90572049	1	2	8	2001	2004	36	7
90572049	2	2	8	2005	2008	30	7
90572070	1	2	8	2002	9917	69	7
90572070	1	1	1	2003	9917	57	7
90572147	1	2	8	1998	9917	103	7
90572147	1	1	1	2006	9917	19	7
90572169	1	2	8	2001	2003	27	7
90572169	2	2	8	2004	2006	24	7
90572169	3	2	8	2007	2007	6	7
90572172	1	1	1	2004	9917	41	7
90572177	1	2	8	2002	2003	6	7
90572177	2	2	8	2003	2006	10	7
90572177	3	3	8	9996	9996	998	7
90572177	4	4	8	1998	9917	116	7
90572192	1	2	8	1996	9917	145	7
90572192	1	1	1	1997	9917	128	7
90572198	1	2	8	2002	2008	70	7
90572198	1	1	1	2003	9917	63	7
90572198	2	2	8	1996	1998	29	7
90572198	3	2	8	2000	2001	12	7
90572209	1	2	8	2000	9917	100	7
90572209	1	1	1	2001	9917	92	7
90572209	1	1	2	2001	9917	91	7
90572213	1	2	8	1998	9917	120	7
90572213	2	3	8	1997	1997	5	7
90572221	1	2	8	2004	9917	45	7
90572221	1	1	1	2005	9917	40	7
